Research name,Publication Title,Author List,Conf/Journal Details,Year,Full name,Authors and Orcid,Authors without a orcid,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Andrew McCarren,An automated ETL for online datasets.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","23rd Enterprise Computing Conference (EDOC), 28-31 Oct 2019, Paris, France.",2019,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,ETL; data warehousing; data transformation; data mining; data models,Computer Science > Machine learning,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23538,14 May 2020 13:58 by  Suzanne Mc Carthy. Last Modified 14 May 2020 13:58,2019 IEEE 23rd International Enterprise Distributed Object Computing Conference (EDOC)..  IEEE.,IEEE,http://dx.doi.org/10.1109/EDOC.2019.00030,© 2019 The Authors,,,,
Andrew McCarren,Benchmarking algorithms for genomic prediction of complex traits.,"Azodi, Christina B., McCarren, Andrew, Roantree, Mark, Gustavo, de los Campos, Shiu, Shin-Han","G3: Genes, Genomes, Genetics, 9 (11). pp. 3691-3702",2019,"Christina B. Azodi, Andrew McCarren, Mark Roantree, de los Campos Gustavo, Shin-Han Shiu","Azodi, Christina B., ORCID: 0000-0002-6097-606X, McCarren, Andrew, ORCID: 0000-0002-7297-0984, Roantree, Mark, ORCID: 0000-0002-1329-2570, Gustavo, de los Campos, ORCID: 0000-0001-5692-7129","Shiu, Shin-Han",,2160-1836,Article (Published),,Yes,,,,Biological Sciences > Biology. Biological Sciences > Genetics. Computer Science > Artificial intelligence. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,23439,16 Jun 2020 13:57 by  Andrew Mccarren. Last Modified 16 Jun 2020 13:57,,Genetics Society of America,https://doi.org/10.1534/g3.119.400498,© 2019 The Authors.  CC-BY-NC-ND 4.0,"National Science Foundation Graduate Research Fellowship (Fellow ID: 2015196719)(USA), Graduate Research Opportunities Abroad (GROW) Fellowship to C.B.A, U.S. Department of Energy Great Lakes Bioenergy Research Center (BER DE-SC0018409), National Science Foundation (IOS-1546617, DEB-1655386) (USA), National Institute of Health (R01GM099992, R01FM101219) (USA)",,,
Andrew McCarren,A method for automated transformation and validation of online datasets.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","23rd IEEE-EDOC Conference: The Enterprise Computing Conference, 28 -31 Oct 2019, Paris, France.",2019,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Engineering; ETL; Data Transformation,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23636,11 Nov 2019 14:17 by  Suzanne Mc Carthy. Last Modified 13 Dec 2019 13:40,,,,© 2019 The Authors,,,,
Andrew McCarren,The Youth-Physical Activity Towards Health (Y-PATH) intervention: 1 results of a 24 month cluster randomised controlled trial.,"Belton, Sarahjane, McCarren, Andrew, McGrane, Bronagh, Powell, Danielle, Issartel, Johann",PLoS One ,2019,"Sarahjane Belton, Andrew McCarren, Bronagh McGrane, Danielle Powell, Johann Issartel","Belton, Sarahjane, ORCID: 0000-0001-9672-6276, McCarren, Andrew, ORCID: 0000-0002-7297-0984, McGrane, Bronagh, ORCID: 0000-0001-6891-7729, Issartel, Johann, ORCID: 0000-0003-1016-1409","Powell, Danielle",,1932-6203,Article (Published),,Yes,,,,Computer Science > Machine learning. Medical Sciences > Health. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. DCU Faculties and Schools > Institute of Education > School of Arts Education & Movement. ,,24485,22 May 2020 16:13 by  Andrew Mccarren. Last Modified 22 May 2020 16:13,,Public Library of Science,http://dx.doi.org/10.1371/journal.pone.0221684,© 2019 The Authors. Open Access,,,,
Andrew McCarren,Representative sample extraction from web data streams.,"Scriney, Michael, Xing, Congcong, McCarren, Andrew, Roantree, Mark","Database and Expert Systems Applications - 30th International Conference, DEXA 2019 {I}, 26-29 Aug 2019, Linz, Austria",2019,"Michael Scriney, Congcong Xing, Andrew McCarren, Mark Roantree","Scriney, Michael, ORCID: 0000-0001-6813-2630, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Xing, Congcong, Roantree, Mark",978-3-030-27614-0,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Warehousing; Data Mining; Data Analytics; ETL; Web Data,UNSPECIFIED,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23659,23 Aug 2019 09:22 by  Michael Scriney. Last Modified 23 Aug 2019 09:22,"Database and Expert Systems Applications - 30th International Conference, DEXA 2019, Proceedings, Part I. Lecture Notes in Computer Science11706.  Springer. ISBN 978-3-030-27614-0",Springer,https://doi.org/10.1007/978-3-030-27615-7_26,© 2019 Springer,"Science Foundation Ireland (SFI) and the Department of Agriculture, Food and Marine on behalf of the Government of Ireland under Grant Number 16/RC/3835",,6,73
Andrew McCarren,"Activity profile, PlayerLoad™ and heart rate response of Gaelic football players: a pilot study.","Gamble, Declan, Spencer, Matt, McCarren, Andrew, Moyna, Niall",Journal of Human Sport and Exercise (14). pp. 1-15,2019,"Declan Gamble, Matt Spencer, Andrew McCarren, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moyna, Niall, ORCID: 0000-0003-1061-8528","Gamble, Declan, Spencer, Matt",,1988-5202,Article (Published),,Yes,,,,Medical Sciences > Sports sciences,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23443,26 Jun 2019 12:02 by  Andrew Mccarren. Last Modified 12 Aug 2020 13:06,,4,http://dx.doi.org/10.14198/jhse.2019.144.01,© 2018 Faculty of Education. University of Alicante,,,,
Andrew McCarren,Combining web and enterprise data for lightweight data mart construction.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark","29th International Conference on Database and Expert Systems Applications (DEXA 2018), 3- 6 Sept 2018, Regensburg, Germany",2018,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",978-3-319-98811-5,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Computer engineering. Computer Science > Computer software. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22388,23 Jul 2018 11:58 by  Mark Roantree. Last Modified 26 Jun 2019 13:48,"Hartmann, Sven and Ma, Hui and Hameurlain, Abdelkader and Pernul, Günther, (eds.)29th International Conference on Database and Expert Systems Applications (DEXA 2018), Proceedings Part 2. Lecture Notes in Computer Science11030.  Springer. ISBN 978-3-319-98811-5",Springer,https://doi.org/10.1007/978-3-319-98812-2_10,© 2018 Springer,Science Foundation Ireland grant number SFI/12/RC/2289,,1,10
Andrew McCarren,Multistep-ahead prediction: a comparison of analytical and algorithmic approaches.,"Bahrpeyma, Fouad, Roantree, Mark, McCarren, Andrew","20th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2018, September 3 - 6, 2018, Regensburg, Germany",2018,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren","McCarren, Andrew, ORCID: 0000-0002-7297-0984","Bahrpeyma, Fouad, Roantree, Mark",978-3-319-98538-1,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22390,23 Jul 2018 11:53 by  Fouad Bahrpeyma. Last Modified 30 Apr 2020 09:37,Big Data Analytics and Knowledge Discovery. Lecture Notes in Computer Science11031.  Springer. ISBN 978-3-319-98538-1,Springer,https://doi.org/10.1007/978-3-319-98539-8_26,© 2018 Springer,Science Foundation Ireland under grant number SFI/12/RC/2289,,2,4
Andrew McCarren,Multistep-ahead prediction: a comparison of analytical and algorithmic approaches.,"Bahrpeyma, Fouad, Roantree, Mark, McCarren, Andrew","20th International Conference on Big Data Analytics and Knowledge Discovery, 3-6 Sept 2018, Regensburg, Germany",2018,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren","Bahrpeyma, Fouad, ORCID: 0000-0002-5128-4774, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Roantree, Mark",978-3-319-98538-1,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Algorithms. Computer Science > Artificial intelligence. Computer Science > Computational complexity. Computer Science > Machine learning. Engineering > Signal processing. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23445,11 Jul 2019 11:13 by  Andrew Mccarren. Last Modified 11 Jul 2019 11:13,"Ordonez, Carlos and Bellatreche, Ladjel, (eds.)20th International Conference on Big Data Analytics and Knowledge Discovery. Lecture Notes in Computer Science (LNCS)11031.  Springer. ISBN 978-3-319-98538-1",Springer,http://dx.doi.org/10.1007%2F978-3-319-98539-8_26,© 2018 Springer,Science Foundation Ireland under grant number SFI/12/RC/2289,,2,4
Andrew McCarren,Relation between physical activity and oxygen uptake efficiency in men with CVD.,"McCormack, Ciara, McDermott, Clare M., Kelly, Sarah M., McCarren, Andrew, Moran, Kieran, Moyna, Niall","European College of Sports Science Conference, 4 - 7 July 2018, Dublin, Ireland.",2018,"Ciara McCormack, Clare M. McDermott, Sarah M. Kelly, Andrew McCarren, Kieran Moran, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moran, Kieran, ORCID: 0000-0003-2015-8967, Moyna, Niall, ORCID: 0000-0003-1061-8528","McCormack, Ciara, McDermott, Clare M., Kelly, Sarah M.",,,Conference or Workshop Item (Poster),Conference,Yes,,,,Medical Sciences > Physiology,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,22598,19 Sep 2018 12:38 by  Ciara Mc Cormack. Last Modified 12 Aug 2020 13:05,,,,,"EU’s Horizon 2020 Framework Program for Research and Innovation Action. Grant Agreement no. 643491., PATHway: Technology enabled behavioral change as a pathway towards better self-management of CVD. (www.pathway2health.eu)",,,
Andrew McCarren,Sub maximal oxygen uptake efficiency slope as a predictor of VO2max in men with cardiovascular disease.,"McDermott, Clare M., McCormack, Ciara, Kelly, Sarah M., McCarren, Andrew, Moran, Kieran, Moyna, Niall","American College of Sports Medicine, 29 May - 2 June 2018, Minneapolis, USA.",2018,"Clare M. McDermott, Ciara McCormack, Sarah M. Kelly, Andrew McCarren, Kieran Moran, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moran, Kieran, ORCID: 0000-0003-2015-8967, Moyna, Niall, ORCID: 0000-0003-1061-8528","McDermott, Clare M., McCormack, Ciara, Kelly, Sarah M.",,,Conference or Workshop Item (Poster),Conference,Yes,,,CVD,Medical Sciences > Physiology,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22578,24 Aug 2018 08:38 by  Clare Mc Dermott. Last Modified 12 Aug 2020 12:37,,,,,"EU’s Horizon 2020 Framework Program for Research and Innovation Action. Grant Agreement no. 643491., PATHway: Technology enabled behavioral change as a pathway towards better self-management of CVD. (www.pathway2health.eu)",,,
Andrew McCarren,Physical activity patterns and cardiorespiratory fitness in men with cardiovascular disease.,"McCormack, Ciara, McDermott, Clare M., Kelly, Sarah M., McCarren, Andrew, Moran, Kieran, Moyna, Niall","American College of Sports Medicine Annual Conference, 28 May - 2 June 2018, Minneapolis, USA.",2018,"Ciara McCormack, Clare M. McDermott, Sarah M. Kelly, Andrew McCarren, Kieran Moran, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moran, Kieran, ORCID: 0000-0003-2015-8967, Moyna, Niall, ORCID: 0000-0003-1061-8528","McCormack, Ciara, McDermott, Clare M., Kelly, Sarah M.",,,Conference or Workshop Item (Poster),Conference,No,,,,Medical Sciences > Exercise. Medical Sciences > Health. Medical Sciences > Physiology. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22521,03 Aug 2018 12:42 by  Ciara Mc Cormack. Last Modified 12 Aug 2020 12:37,,,,,Insight Centre for Data Analytics,,,
Andrew McCarren,An architecture and services for constructing data marts from online data sources.,"McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark",Technical Report. UNSPECIFIED.,2018,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Monograph (Technical Report),,No,,,,Computer Science > Artificial intelligence,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22386,06 Jun 2018 10:29 by  Mark Roantree. Last Modified 26 Jun 2019 10:43,,,,,Science Foundation Ireland  grant number SFI/12/RC/2289,,,
Andrew McCarren,Multi-resolution forecast aggregation for time series in agri datasets.,"Bahrpeyma, Fouad, Roantree, Mark, McCarren, Andrew","Irish Conference on Artificial Intelligence and Cognitive Science (AICS 2017), 7-8 Dec 2017, Dublin, Ireland",2017,"Fouad Bahrpeyma, Mark Roantree, Andrew McCarren","Bahrpeyma, Fouad, ORCID: 0000-0002-5128-4774, McCarren, Andrew, ORCID: 0000-0002-7297-0984","Roantree, Mark",1613-0073,1613-0073,Conference or Workshop Item (Paper),Conference,Yes,,,Time series prediction; Multistep ahead prediction; Forecasting; The small sample size problem; Recurrent Neural Networks; Forecast Aggregation; Multi-resolution Analysis; Prediction in the long run; Resolution of Impact (ROI); Univariate time series; Time series analysis;,Computer Science > Computational complexity. Computer Science > Machine learning. Computer Science > Artificial intelligence. Computer Science > Algorithms. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22079,10 Jan 2018 16:41 by  Thomas Murtagh. Last Modified 26 Jun 2019 10:41,"McAuley, John and McKeever, Susan, (eds.)Proceedings of the 25th Irish Conference on Artificial Intelligence and Cognitive Science.2087.  CEUR-WS. ISBN ISSN 1613-0073",CEUR-WS,http://ceur-ws.org/Vol-2086/AICS2017_paper_24.pdf,© 2017 The Authors,Science Foundation Ireland grant number SFI/12/RC/2289,,,
Andrew McCarren,Concurrent validity of Fitbit Charge HR and Microsoft Band 2 to measure heart rate.,"McDermott, Clare M., McCarren, Andrew, Moran, Kieran, Moyna, Niall","Faculty of Sport and Exercise Medicine Conference , RCSI, 15-16 Sept 2017, Dublin, Ireland.",2017,"Clare M. McDermott, Andrew McCarren, Kieran Moran, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moran, Kieran, ORCID: 0000-0003-2015-8967, Moyna, Niall, ORCID: 0000-0003-1061-8528","McDermott, Clare M.",,,Conference or Workshop Item (Poster),Conference,No,,,,Medical Sciences > Sports sciences,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22007,15 Sep 2017 15:25 by  Giulia Migliorato. Last Modified 26 Jun 2019 10:38,,,,,European Union's Horizon 2020 Framework Programme for Research and Innovation Action under Grant Agreement no.643491,,,
Andrew McCarren,Physiological profile and activity pattern of minor Gaelic football players.,"Cullen, Bryan, Roantree, Mark, McCarren, Andrew, Kelly, David T., O'Connor, Paul L., Huges, Sarah, Daly, Pat G., Moyna, Niall","Journal of Strength and Conditioning Research, 31 (7). pp. 1811-1820",2017,"Bryan Cullen, Mark Roantree, Andrew McCarren, David T. Kelly, Paul L. O'Connor, Sarah Huges, Pat G. Daly, Niall Moyna","McCarren, Andrew, ORCID: 0000-0002-7297-0984, Moyna, Niall, ORCID: 0000-0003-1061-8528","Cullen, Bryan, Roantree, Mark, Kelly, David T., O'Connor, Paul L., Huges, Sarah, Daly, Pat G.",,1064-8011,Article (Published),,Yes,,,GPS technology; team sports; heart rate; Gaelic games,Medical Sciences > Physiology,DCU Faculties and Schools > Faculty of Science and Health > School of Health and Human Performance. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22405,29 Jun 2018 13:20 by  Andrew Mccarren. Last Modified 26 Jun 2019 10:37,,"Lippincott, Williams & Wilkins",https://doi.org/10.1519/JSC.0000000000001667,© 2016 National Strength and Conditioning Association,"Cumann Lutchleas Gael, Science Foundation Ireland",,,
Andrew McCarren,"Predicting prices, volume and trade for meat and dairy products: an agri food data model.","McCarthy, Suzanne, McCarren, Andrew, Roantree, Mark",Technical Report. UNSPECIFIED.,2017,"Suzanne McCarthy, Andrew McCarren, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, Roantree, Mark",,,Monograph (Technical Report),,No,,,,UNSPECIFIED,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23079,14 Mar 2019 15:02 by  Suzanne Mc Carthy. Last Modified 14 Mar 2019 15:02,,,,© 2017 The Authors,Science Foundation Ireland under grant number SFI/12/RC/2289,,,
Andrew McCarren,Anomaly detection in agri warehouse construction.,"McCarren, Andrew, McCarthy, Suzanne, O'Sullivan, Conor, Roantree, Mark","Australasian Computer Science Week (ACSW ’17), 31 Jan- 3 Feb, 2017, Geelong, Australia",2017,"Andrew McCarren, Suzanne McCarthy, Conor O'Sullivan, Mark Roantree","McCarren, Andrew, ORCID: 0000-0002-7297-0984","McCarthy, Suzanne, O'Sullivan, Conor, Roantree, Mark",978-1-4503-4768-6,,Conference or Workshop Item (Paper),Conference,Yes,,,Data Warehouse; Agri; Data Mining; Anomaly Detection,Computer Science > Algorithms,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22396,25 Jun 2018 13:14 by  Suzanne Mc Carthy. Last Modified 06 Nov 2019 16:22,Proceedings of the Australasian Computer Science Week Multiconference 2017. Australasian Computer Science Week Multiconference(17).  ACM. ISBN 978-1-4503-4768-6,ACM,http://dx.doi.org/10.1145/3014812.3014829,© 2017 ACM,Enterprise Ireland Grant Ref. CF-2014-4611,,,
Andrew McCarren,Detecting feature interactions in agricultural trade data using a deep neural network.,"O'Donoghue, Jim, Roantree, Mark, McCarren, Andrew","Big Data Analytics and Knowledge Discovery - DaWaK 2017, 28 - 31 Aug, 2017, Lyon, France",2017,"Jim O'Donoghue, Mark Roantree, Andrew McCarren","McCarren, Andrew, ORCID: 0000-0002-7297-0984","O'Donoghue, Jim, Roantree, Mark",978-3-319-64282-6,,Conference or Workshop Item (Paper),Conference,Yes,,,Deep learning; data mining; Agri-analytics; deep architecture; big data;,Computer Science > Machine learning,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21859,25 Aug 2017 10:34 by  Mark Roantree. Last Modified 26 Jun 2019 10:35,"Bellatreche, Ladjel and Chakravarthy, Sharma, (eds.)International Conference on Big Data Analytics and Knowledge Discovery. Lecture Notes in Computer Science book series (LNCS)10440.  Springer. ISBN 978-3-319-64282-6",Springer,https://doi.org/10.1007/978-3-319-64283-3_33,© 2017 Springer International Publishing,Science Foundation Ireland  grant no. SFI/12/RC/2289,,8,11
Andrew McCarren,Variable interactions in risk factors for dementia.,"O'Donoghue, Jim, Roantree, Mark, McCarren, Andrew","IEEE Tenth International Conference on Research Challenges in Information Science, 1 -3 Jun 2016, Grenoble. France.",2016,"Jim O'Donoghue, Mark Roantree, Andrew McCarren","McCarren, Andrew, ORCID: 0000-0002-7297-0984","O'Donoghue, Jim, Roantree, Mark",,,Conference or Workshop Item (Paper),Conference,Yes,,,Neural networks; Dementia; Risk factor interactions; Survival analysis,Computer Science > Machine learning. Computer Science > Artificial intelligence. Medical Sciences > Health. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21189,01 Jul 2016 08:19 by  Jim O'Donoghue. Last Modified 26 Jun 2019 10:34,10th {IEEE} International Conference on Research Challenges in Information Science..  IEEE.,IEEE,,,"Science Foundation Ireland, European Framework Programme 7",,,
Andrew McCarren,Anomaly and event detection for unsupervised athlete performance data.,"O'Donoghue, Jim, Roantree, Mark, Cullen, Bryan, Moyna, Niall, O'Sullivan, Conor, McCarren, Andrew","LWA 2015: Knowledge Discovery and Machine Learning stream, 7-9 Oct 2015, Trier, Germany.",2015,"Jim O'Donoghue, Mark Roantree, Bryan Cullen, Niall Moyna, Conor O'Sullivan, Andrew McCarren","Moyna, Niall, ORCID: 0000-0003-1061-8528, McCarren, Andrew, ORCID: 0000-0002-7297-0984","O'Donoghue, Jim, Roantree, Mark, Cullen, Bryan, O'Sullivan, Conor",,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20867,23 Oct 2015 10:26 by  Jim O'Donoghue. Last Modified 26 Jun 2019 10:33,"Proceedings of the {LWA} 2015 Workshops: KDML, FGWM, IR, and FGDB, Trier, Germany, October 7-9, 2015. {CEUR} Workshop Proceedings1458.  CEUR-WS.org.",CEUR-WS.org,http://ceur-ws.org/Vol-1458/E27_CRC63_Odonoghue.pdf,,European Framework Programme 7,,,
Andrew McCarren,Validating a novel web-based method to capture disease progression outcomes in multiple sclerosis.,"Leddy, Sara, Hadavi, Shahrzad, McCarren, Andrew, Giovannoni, Gavin, Dobson, Ruth","Journal of Neurology, 260 (10). pp. 2505-2510",2013,"Sara Leddy, Shahrzad Hadavi, Andrew McCarren, Gavin Giovannoni, Ruth Dobson","Leddy, Sara, ORCID: 0000-0002-5249-6234, McCarren, Andrew, ORCID: 0000-0002-7297-0984, Giovannoni, Gavin, ORCID: 0000-0001-9995-1700, Dobson, Ruth, ORCID: 0000-0002-2993-585X","Hadavi, Shahrzad",,1432-1459,Article (Published),,Yes,,,Multiple Sclerosis; EDSS;  Functional System; Disability Assessment;  Internet,Biological Sciences > Neuroscience,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24397,30 Apr 2020 09:44 by  Andrew Mccarren. Last Modified 30 Apr 2020 14:33,,Springer Verlag,http://dx.doi.org/10.1007/s00415-013-7004-1,© 2013 Springer,,,,
