Research name,Publication Title,Author List,Conf/Journal Details,Citation count,Year
Dimitar Shterionov,An Investigative Study of Multi-Modal Cross-Lingual Retrieval,"Piyush Arora, Dimitar Shterionov, Yasufumi Moriya, Abhishek Kaushik, Daria Dzendzik, Gareth Jones",Proceedings of the workshop on Cross-Language Search and Summarization of …,0,2020
Dimitar Shterionov,Selecting Backtranslated Data from Multiple Sources for Improved Neural Machine Translation,"Xabier Soto, Dimitar Shterionov, Alberto Poncelas, Andy Way",arXiv preprint arXiv:2005.00308,0,2020
Dimitar Shterionov,Combining SMT and NMT back-translated data for efficient NMT,"Alberto Poncelas, Maja Popovic, Dimitar Shterionov, Gideon Maillette De Buy Wenniger, Andy Way",arXiv preprint arXiv:1909.03750,6,2019
Dimitar Shterionov,APE through Neural and Statistical MT with Augmented Data. ADAPT/DCU Submission to the WMT 2019 APE Shared Task,"Dimitar Shterionov, Joachim Wagner, Felix Do Carmo",Proceedings of the Fourth Conference on Machine Translation (Volume 3 …,0,2019
Dimitar Shterionov,Towards language-agnostic alignment of product titles and descriptions: a neural approach,"Daniel Stein, Dimitar Shterionov, Andy Way",Companion Proceedings of The 2019 World Wide Web Conference 387-392,0,2019
Dimitar Shterionov,ABI Neural Ensemble Model for Gender Prediction Adapt Bar-Ilan Submission for the CLIN29 Shared Task on Gender Prediction,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",arXiv preprint arXiv:1902.08856,2,2019
Dimitar Shterionov,Lost in translation: loss and decay of linguistic richness in machine translation,"Eva Vanmassenhove, Dimitar Shterionov, Andy Way",European Association for Machine Translation 1,13,2019
Dimitar Shterionov,When less is more in neural quality estimation of machine translation. An industry case study,"Dimitar Shterionov, Felix Do Carmo, Joss Moorkens, Eric Paquin, Dag Schmidtke, Declan Groves, Andy Way",European Association for Machine Translation 2,1,2019
Dimitar Shterionov,ABI Neural Ensemble Model for Gender Prediction.,"Eva Vanmassenhove, Amit Moryossef, Alberto Poncelas, Andy Way, Dimitar Shterionov",GxG@ CLIN 53-61,0,2019
Dimitar Shterionov,Proceedings of the Second Workshop on Multilingualism at the Intersection of Knowledge Bases and Machine Translation,"Mihael Arcan, Marco Turchi, Jinhua Du, Dimitar Shterionov, Daniel Torregrosa",Proceedings of the Second Workshop on Multilingualism at the Intersection of …,0,2019
Dimitar Shterionov,"Proceedings of Machine Translation Summit XVII Volume 2: Translator, Project and User Tracks","Mikel Forcada, Andy Way, John Tinsley, Dimitar Shterionov, Celia Rico, Federico Gaspari",Proceedings of Machine Translation Summit XVII Volume 2: Translator Project …,0,2019
Dimitar Shterionov,Human versus automatic quality evaluation of NMT and PBSMT,"Dimitar Shterionov, Riccardo Superbo, Pat Nagle, Laura Casanellas, Tony O’Dowd, Andy Way",Machine Translation 32 (3) 217-235,29,2018
Dimitar Shterionov,Multi-domain neural machine translation,"Sander Tars, Mark Fishel",arXiv preprint arXiv:1805.02282,90,2018
Dimitar Shterionov,Empirical evaluation of NMT and PBSMT quality for large-scale translation production,"Dimitar Shterionov, Pat Nagle, Laura Casanellas, Riccardo Superbo, Tony O’Dowd",Proc. of EAMT 75-80,19,2017
Dimitar Shterionov,Zero-shot translation for indian languages with sparse data,"Giulia Mattoni, Pat Nagle, Carlos Collantes, Dimitar Shterionov",Proceedings of the MT Summit,3,2017
Dimitar Shterionov,Integration of a Multilingual Preordering Component into a Commercial SMT Platform,"Anita Ramm, Riccardo Superbo, Dimitar Shterionov, Tony O’Dowd, Alexander Fraser",The Prague Bulletin of Mathematical Linguistics 108 (1) 61-72,2,2017
Dimitar Shterionov,Improving KantanMT training efficiency with fast align,"Dimitar Shterionov, Jinhua Du, Marc Anthony Palminteri, Laura Casanellas, Tony O’Dowd, Andy Way",AMTA,2,2016
Dimitar Shterionov,Compacting boolean formulae for inference in probabilistic logic programming,"Theofrastos Mantadelis, Dimitar Shterionov, Gerda Janssens",International Conference on Logic Programming and Nonmonotonic Reasoning …,5,2015
Dimitar Shterionov,Implementation and performance of probabilistic inference pipelines,"Dimitar Shterionov, Gerda Janssens",International Symposium on Practical Aspects of Declarative Languages 90-104,7,2015
Dimitar Shterionov,Inference and learning in probabilistic logic programs using weighted Boolean formulas,"Daan Fierens, Guy Van Den Broeck, Joris Renkens, Dimitar Shterionov, Bernd Gutmann, Ingo Thon, Gerda Janssens, Luc De Raedt",Theory and Practice of Logic Programming 15 (3) 358-401,235,2015
Dimitar Shterionov,Crucial components in probabilistic inference pipelines,"Dimitar Shterionov, Gerda Janssens",Proceedings of the 30th Annual ACM Symposium on Applied Computing 1887-1889,3,2015
Dimitar Shterionov,The most probable explanation for probabilistic logic programs with annotated disjunctions,"Dimitar Shterionov, Joris Renkens, Jonas Vlasselaer, Angelika Kimmig, Wannes Meert, Gerda Janssens",Inductive Logic Programming 139-153,7,2015
Dimitar Shterionov,Design and Development of Probabilistic Inference Pipelines,Dimitar Shterionov,,0,2015
Dimitar Shterionov,Implementation and performance of probabilistic inference pipelines: Data and results,"Dimitar Shterionov, Gerda Janssens",CW Reports,0,2015
Dimitar Shterionov,cProbLog: Restricting the possible worlds of probabilistic logic programs,"Dimitar Shterionov, Gerda Janssens",Proceedings FLOC workshop Probabilistic Logic Programming 1-12,1,2014
Dimitar Shterionov,Pattern-based compaction for ProbLog inference,"Dimitar Shterionov, Theofrastos Mantadelis, Gerda Janssens",CW Reports,1,2013
Dimitar Shterionov,Problog2: From probabilistic programming to statistical relational learning,"Joris Renkens, Dimitar Shterionov, Guy Van Den Broeck, Jonas Vlasselaer, Daan Fierens, Wannes Meert, Gerda Janssens, Luc De Raedt",Proceedings of the NIPS Probabilistic Programming Workshop,11,2012
Dimitar Shterionov,Data acquisition and modeling for learning and reasoning in probabilistic logic environment,"Dimitar Shterionov, Gerda Janssens",Proceedings of the 15th Portuguese Conference on Artificial Intelligence …,8,2011
Dimitar Shterionov,DNF sampling for ProbLog inference,"Dimitar Shterionov, Angelika Kimmig, Theofrastos Mantadelis, Gerda Janssens",arXiv preprint arXiv:1009.3798,9,2010
